ftitre;fannee;anom;freq
LE HAVRE;2011;AKI KAURISMAKI;1073623
LA PLANQUE;2011;AKIM ISKER;91526
BONOBOS;2011;ALAIN TIXIER;167632
BALADA TRISTE;2011;ALEX DE LA IGLESIA;84569
UNE PURE AFFAIRE;2011;ALEXANDRE COFFRE;263383
SANCTUM 3D;2011;ALISTER GRIERSON;436321
ANGELE ET TONY;2011;ALIX DELAPORTE;374381
KILLING FIELDS;2011;AMI CANAAN MANN;121442
IMPARDONNABLES;2011;ANDRE TECHINE;357694
TIME OUT;2011;ANDREW NICCOL;2073383
MON PIRE CAUCHEMAR;2011;ANNE FONTAINE;1434887
QUI A ENVIE D'ETRE AIME ?;2011;ANNE GIAFFERI;225185
THE PRODIGIES;2011;ANTOINE CHARREYRON;204070
LE CHAT DU RABBIN;2011;ANTOINE DELESVAUX;870537
LA LOCATAIRE;2011;ANTTI JOKINEN;86071
UNE SEPARATION;2011;ASGHAR FARHADI;1844806
TOI, MOI, LES AUTRES;2011;AUDREY ESTROUGO;294251
MISSION : NOEL LES AVENTURES DE LA FAMILLE NOEL;2011;BARRY COOK;1517954
LES BOLOSS;2011;BEN PALMER;173918
LE STRATEGE;2011;BENNETT MILLER;194675
UNE FOLLE ENVIE;2011;BERNARD JEANJEAN;136130
L'APOLLONIDE SOUVENIRS DE LA MAISON CLOSE;2011;BERTRAND BONELLO;383223
TWILIGHT - CHAPITRE 4 : REVELATION PREMIERE PARTIE;2011;BILL CONDON;6321390
DANCE BATTLE - HONEY 2;2011;BILLE WOODRUFF;555909
B.A.T (BON A TIRER);2011;BOBBY FARRELLY;662976
LES GEANTS;2011;BOULI LANNERS;70584
MISSION : IMPOSSIBLE PROTOCOLE FANTOME;2011;BRAD BIRD;4201680
LA DEFENSE LINCOLN;2011;BRAD FURMAN;465046
CARS 2;2011;BRAD LEWIS;4364604
LE CASSE DE CENTRAL PARK;2011;BRETT RATNER;324986
RHUM EXPRESS;2011;BRUCE ROBINSON;70998
JE N'AI RIEN OUBLIE;2011;BRUNO CHICHE;375533
LA FEE;2011;BRUNO ROMY;160291
RIO;2011;CARLOS SALDANHA;4039668
LE CHAPERON ROUGE;2011;CATHERINE HARDWICKE;614942
MA PART DU GATEAU;2011;CEDRIC KLAPISCH;1783264
TOMBOY;2011;CELINE SCIAMMA;551229
L'INCROYABLE HISTOIRE DE WINTER LE DAUPHIN;2011;CHARLES MARTIN SMITH;320904
AU BISTRO DU COIN;2011;CHARLES NEMES;35831
LE CHAT POTTE;2011;CHRIS MILLER;6332393
ON NE CHOISIT PAS SA FAMILLE;2011;CHRISTIAN CLAVIER;638672
TOUS AU LARZAC;2011;CHRISTIAN ROUAUD;316126
LA NOUVELLE GUERRE DES BOUTONS;2011;CHRISTOPHE BARRATIER;2917747
LES BIEN-AIMES;2011;CHRISTOPHE HONORE;495421
VOYEZ COMME ILS DANSENT;2011;CLAUDE MILLER;90582
LA CLE DES CHAMPS;2011;CLAUDE NURIDSANY;140097
AU-DELA;2011;CLINT EASTWOOD;3228086
FRIGHT NIGHT;2011;CRAIG GILLESPIE;355128
NUMERO QUATRE;2011;D.J. CARUSO;1232505
LA FILLE DU PUISATIER;2011;DANIEL AUTEUIL;2489331
HARRY BROWN;2011;DANIEL BARBER;98723
SORTILEGE;2011;DANIEL BARNZ;271075
EASY MONEY;2011;DANIEL ESPINOSA;82046
LA NOSTRA VITA;2011;DANIELE LUCHETTI;100644
127 HEURES;2011;DANNY BOYLE;609908
RIEN A DECLARER;2011;DANY BOON;14121895
BLACK SWAN;2011;DARREN ARONOFSKY;4524762
A DANGEROUS METHOD;2011;DAVID CRONENBERG;917522
ECHANGE STANDARD;2011;DAVID DOBKIN;256350
LA DELICATESSE;2011;DAVID FOENKINOS;1483453
FIGHTER;2011;DAVID O. RUSSELL;369241
SHARK 3D;2011;DAVID R. ELLIS;365079
HARRY POTTER ET LES RELIQUES DE LA MORT PARTIE 2;2011;DAVID YATES;9735423
AFRICA UNITED;2011;DEBS GARDNER-PATERSON;88069
17 FILLES;2011;DELPHINE COULIN;139790
LA PERMISSION DE MINUIT;2011;DELPHINE GLEIZE;264534
LES MYTHOS;2011;DENIS THYBAUD;147452
INCENDIES;2011;DENIS VILLENEUVE;619784
LE MYTHO;2011;DENNIS DUGAN;435454
NOUS SOMMES LA NUIT;2011;DENNIS GANSEL;113484
BLUE VALENTINE;2011;DEREK CIANFRANCE;225746
FESTIVAL CINEMA TELERAMA (2011);2011;DIVERS;565992
BEUR SUR LA VILLE;2011;DJAMEL BENSALAH;774395
VERY COLD TRIP;2011;DOME KARUKOSKI;108577
LE DERNIER DES TEMPLIERS;2011;DOMINIC SENA;1645189
LE MOINE;2011;DOMINIK MOLL;317020
LA FEE;2011;DOMINIQUE ABEL (I);160291
LE MARQUIS;2011;DOMINIQUE FARRUGIA;920838
WINNIE L'OURSON : BIENVENUE DANS LA FORET DES REVES BLEUS;2011;DON HALL;428542
MAIS COMMENT FONT LES FEMMES ?;2011;DOUGLAS MCGRATH;435602
SOURCE CODE;2011;DUNCAN JONES;1313214
LOVE & AUTRES DROGUES;2011;EDWARD ZWICK;1164857
BLITZ;2011;ELLIOTT LESTER;473206
L'ART D'AIMER;2011;EMMANUEL MOURET;376651
UN MONSTRE A PARIS;2011;ERIC BIBO BERGERON;1910264
YOGI L'OURS;2011;ERIC BREVIG;514700
BIENVENUE A BORD;2011;ERIC LAVAINE;2635660
INTOUCHABLES;2011;ERIC TOLEDANO;35648468
LA PROIE;2011;ERIC VALETTE;629247
L'OURS MONTAGNE;2011;ESBEN TOFT JACOBSEN;203001
TRUE GRIT;2011;ETHAN COEN;2406228
CASE DEPART;2011;FABRICE EBOUE;3345040
CHICO & RITA;2011;FERNANDO TRUEBA;202865
LA FEE;2011;FIONA GORDON;160291
JOHN RABE LE JUSTE DE NANKIN;2011;FLORIAN GALLENBERGER;26564
DE L'EAU POUR LES ELEPHANTS;2011;FRANCIS LAWRENCE;1190622
EMILIE JOLIE;2011;FRANCIS NIELSEN;434770
R.I.F.;2011;FRANCK MANCUSO;375528
ZOOKEEPER LE HEROS DES ANIMAUX;2011;FRANK CORACI;251245
DE FORCE;2011;FRANK HENRY;31364
HOLLYWOO;2011;FREDERIC BERTHE;4215473
NUIT BLANCHE (2011);2011;FREDERIC JARDIN;102050
J'AIME REGARDER LES FILLES;2011;FREDERIC LOUF;86345
SWITCH;2011;FREDERIC SCHOENDOERFFER;507841
ENCORE UN BAISER;2011;GABRIELE MUCCINO;52367
HAPPY NEW YEAR (2011);2011;GARRY MARSHALL;1003613
KILLER ELITE;2011;GARY MCKENDRY;463705
WARRIOR;2011;GAVIN O'CONNOR;334270
LES MARCHES DU POUVOIR;2011;GEORGE CLOONEY;984763
HAPPY FEET 2;2011;GEORGE MILLER;1093640
L'AGENCE;2011;GEORGE NOLFI;1146902
FASTER;2011;GEORGE TILLMAN JR;80419
POUPOUPIDOU;2011;GERALD HUSTACHE-MATHIEU;318876
GIANNI ET LES FEMMES;2011;GIANNI DI GREGORIO;187857
TU SERAS MON FILS;2011;GILLES LEGRAND;1314406
L'AMOUR A SES RAISONS...;2011;GIOVANNI VERONESI;35119
CRAZY, STUPID, LOVE;2011;GLENN FICARRA;984592
APOLLO 18;2011;GONZALO LOPEZ-GALLEGO;112204
RANGO;2011;GORE VERBINSKI;2023792
PAUL;2011;GREG MOTTOLA;1312906
RESTLESS;2011;GUS VAN SANT;163622
THE SILENT HOUSE;2011;GUSTAVO HERNANDEZ;79478
LE MARCHAND DE SABLE;2011;HELMUT FISCHER;124654
ARRIETTY LE PETIT MONDE DES CHAPARDEURS;2011;HIROMASA YONEBAYASHI;1815603
ANIMAUX & CIE EN 3D;2011;HOLGER TAPPE;1803451
MEME LA PLUIE;2011;ICIAR BOLLAIN;553753
WINX CLUB L'AVENTURE MAGIQUE 3D;2011;IGINIO STRAFFI;135276
LES HOMMES LIBRES;2011;ISMAEL FERROUKHI;303308
SEX FRIENDS;2011;IVAN REITMAN;1729373
BAD TEACHER;2011;JAKE KASDAN;1715068
LE GRUFFALO;2011;JAKOB SCHUH;148958
DES VENTS CONTRAIRES;2011;JALIL LESPERT;624769
COMMENT SAVOIR;2011;JAMES L. BROOKS;184300
INSIDIOUS;2011;JAMES WAN;889726
MALVEILLANCE;2011;JAUME BALAGUERO;199591
SANS IDENTITE;2011;JAUME COLLET-SERRA;1796247
CHICO & RITA;2011;JAVIER MARISCAL;202865
LE TABLEAU;2011;JEAN-FRANCOIS LAGUIONIE;644602
OR NOIR;2011;JEAN-JACQUES ANNAUD;400163
ITINERAIRE BIS;2011;JEAN-LUC PERREARD;315363
DE BON MATIN;2011;JEAN-MARC MOUTOUT;277900
LE GAMIN AU VELO;2011;JEAN-PIERRE DARDENNE;1327935
SUPER 8;2011;JEFFREY ABRAMS;2676214
ET SOUDAIN, TOUT LE MONDE ME MANQUE;2011;JENNIFER DEVOLDERE;434963
KUNG FU PANDA 2;2011;JENNIFER YUH;4449618
REQUIEM POUR UNE TUEUSE;2011;JEROME LE GRIS;172558
LARGO WINCH II;2011;JEROME SALLE;2432545
LE MARCHAND DE SABLE;2011;JESPER MOLLER;124654
DREAM HOUSE;2011;JIM SHERIDAN;454759
LE CHAT DU RABBIN;2011;JOANN SFAR;870537
LE COMPLEXE DU CASTOR;2011;JODIE FOSTER;335017
ATTACK THE BLOCK;2011;JOE CORNISH;38710
CAPTAIN AMERICA - FIRST AVENGER;2011;JOE JOHNSTON;1705188
HANNA;2011;JOE WRIGHT;159189
TRUE GRIT;2011;JOEL COEN;2406228
RABBIT HOLE;2011;JOHN CAMERON MITCHELL;111545
STONE;2011;JOHN CURRAN;187642
CADAVRES A LA PELLE;2011;JOHN LANDIS;26896
CARS 2;2011;JOHN LASSETER;4364604
L'AFFAIRE RACHEL SINGER;2011;JOHN MADDEN;296546
L'IRLANDAIS;2011;JOHN MICHAEL MCDONAGH;233717
CRAZY, STUPID, LOVE;2011;JOHN REQUA;984592
IDENTITE SECRETE;2011;JOHN SINGLETON;1227348
THE COMPANY MEN;2011;JOHN WELLS;269632
BIG MAMMA DE PERE EN FILS;2011;JOHN WHITESELL;657480
COWBOYS & ENVAHISSEURS;2011;JON FAVREAU;1554096
JUSTIN BIEBER NEVER SAY NEVER;2011;JON M. CHU;85583
LE SANG DES TEMPLIERS;2011;JONATHAN ENGLISH;208058
50/50;2011;JONATHAN LEVINE;35686
WORLD INVASION : BATTLE LOS ANGELES;2011;JONATHAN LIEBESMAN;803642
COUP D'ECLAT;2011;JOSE ALCALA;235193
TRON L'HERITAGE;2011;JOSEPH KOSINSKI;1997183
LE SKYLAB;2011;JULIE DELPY;447237
TROIS FOIS 20 ANS;2011;JULIE GAVRAS;159077
DERRIERE LES MURS;2011;JULIEN LACOMBE;27761
L'ASSAUT;2011;JULIEN LECLERCQ;912846
FAST & FURIOUS 5;2011;JUSTIN LIN;4509230
MONSIEUR PAPA;2011;KAD MERAD;822714
UN BAISER PAPILLON;2011;KARINE SILLA;101889
POURQUOI TU PLEURES ?;2011;KATIA LEWKOWICZ;305279
GNOMEO ET JULIETTE;2011;KELLY ASBURY;1165067
ROUTE IRISH;2011;KEN LOACH;119661
THOR;2011;KENNETH BRANAGH;2244219
L'AIGLE DE LA NEUVIEME LEGION;2011;KEVIN MACDONALD;393451
MELANCHOLIA;2011;LARS VON TRIER;768932
GIGOLA;2011;LAURE CHARPENTIER;16894
CASE DEPART;2011;LIONEL STEKETEE;3345040
UN JOUR;2011;LONE SCHERFIG;487200
POLLEN;2011;LOUIS SCHWARTZBERG;228559
THE LADY;2011;LUC BESSON;962108
LE GAMIN AU VELO;2011;LUC DARDENNE;1327935
WE NEED TO TALK ABOUT KEVIN;2011;LYNNE RAMSAY;202069
POLISSE;2011;MAIWENN LE BESCO;4378306
CHEBURASHKA ET SES AMIS;2011;MAKOTO NAKAMURA;106027
CONAN;2011;MARCUS NISPEL;429106
LA CLE DES CHAMPS;2011;MARIE PERENNOU;140097
POULET AUX PRUNES;2011;MARJANE SATRAPI;453951
NEVER LET ME GO;2011;MARK ROMANEK;152115
M. POPPER ET SES PINGOUINS;2011;MARK WATERS;1449857
GREEN LANTERN;2011;MARTIN CAMPBELL;1441810
OU VA LA NUIT;2011;MARTIN PROVOST;210664
HUGO CABRET;2011;MARTIN SCORSESE;2364617
LAST NIGHT;2011;MASSY TADJEDIN;538401
BLACKTHORN;2011;MATEO GIL;92202
AMERICANO;2011;MATHIEU DEMY;48813
L'ORDRE ET LA MORALE;2011;MATHIEU KASSOVITZ;288925
X-MEN : LE COMMENCEMENT;2011;MATTHEW VAUGHN;3745929
THE THING;2011;MATTHIJS VAN HEIJNINGEN JR;188728
LOW COST;2011;MAURICE BARTHELEMY;441985
LE GRUFFALO;2011;MAX LANG;148958
LES ADOPTES;2011;MELANIE LAURENT;318257
UN AMOUR DE JEUNESSE;2011;MIA HANSEN-LOVE;237168
TRANSFORMERS 3 : LA FACE CACHEE DE LA LUNE;2011;MICHAEL BAY;4514334
THE GREEN HORNET;2011;MICHEL GONDRY;1175950
THE ARTIST;2011;MICHEL HAZANAVICIUS;5872603
LES CONTES DE LA NUIT;2011;MICHEL OCELOT;886922
L'ANGE DU MAL;2011;MICHELE PLACIDO;101276
LE RITE;2011;MIKAEL HAFSTROM;1497301
BEGINNERS;2011;MIKE MILLS;373076
ALVIN ET LES CHIPMUNKS 3;2011;MIKE MITCHELL;4261503
17 FILLES;2011;MURIEL COULIN;139790
ET MAINTENANT ON VA OU ?;2011;NADINE LABAKI;758443
HABEMUS PAPAM;2011;NANNI MORETTI;1246638
LIMITLESS;2011;NEIL BURGER;1526521
KILLING BONO;2011;NICK HAMM;115471
DE L'HUILE SUR LE FEU;2011;NICOLAS BENAMOU;41285
LA CHANCE DE MA VIE;2011;NICOLAS CUCHE;1747572
DRIVE;2011;NICOLAS WINDING REFN;3045351
WE WANT SEX EQUALITY;2011;NIGEL COLE;386351
JOHNNY ENGLISH, LE RETOUR;2011;OLIVER PARKER;594357
LES TUCHE;2011;OLIVIER BAROUX;2781848
NICOSTRATOS LE PELICAN;2011;OLIVIER HORLAIT;160620
LES LYONNAIS;2011;OLIVIER MARCHAL;2224061
COLOMBIANA;2011;OLIVIER MEGATON;1119464
INTOUCHABLES;2011;OLIVIER NAKACHE;35648468
CARANCHO;2011;PABLO TRAPERO;154014
THIS MUST BE THE PLACE;2011;PAOLO SORRENTINO;283133
NI A VENDRE NI A LOUER;2011;PASCAL RABATE;172199
HOLLYWOO;2011;PASCAL SERIEIS;4215473
DERRIERE LES MURS;2011;PASCAL SID;27761
LA CROISIERE;2011;PASCALE POUZADOUX;1212424
VOIR LA MER;2011;PATRICE LECONTE;62586
HELL DRIVER;2011;PATRICK LUSSIER;429641
LES TROIS MOUSQUETAIRES;2011;PAUL ANDERSON;798952
MES MEILLEURES AMIES;2011;PAUL FEIG;1009180
LA PIEL QUE HABITO;2011;PEDRO ALMODOVAR;1346959
B.A.T (BON A TIRER);2011;PETER FARRELLY;662976
LES CHEMINS DE LA LIBERTE;2011;PETER WEIR;1462668
EMILIE JOLIE;2011;PHILIPPE CHATEL;434770
TOUS LES SOLEILS;2011;PHILIPPE CLAUDEL;1024109
L'ELEVE DUCOBU;2011;PHILIPPE DE CHAUVERON;2678321
LE FILS A JO;2011;PHILIPPE GUILLARD;2086235
LES FEMMES DU 6E ETAGE;2011;PHILIPPE LE GUAY;3972340
TOUTES NOS ENVIES;2011;PHILIPPE LIORET;614927
LEGITIME DEFENSE;2011;PIERRE LACAN;66330
LES TRIBULATIONS D'UNE CAISSIERE;2011;PIERRE RAMBALDI;163241
L'EXERCICE DE L'ETAT;2011;PIERRE SCHOELLER;992652
HALAL, POLICE D'ETAT;2011;RACHID DIBOU;1423570
LA SOURCE DES FEMMES;2011;RADU MIHAILEANU;1150071
LES SCHTROUMPFS;2011;RAJA GOSNELL;4916385
AVANT L'AUBE (2011);2011;RAPHAEL JACOULOT;240351
LA LIGNE DROITE;2011;REGIS WARGNIER;217734
ANIMAUX & CIE EN 3D;2011;REINHARD KLOOSS;1803451
UN HEUREUX EVENEMENT;2011;REMI BEZANCON;850010
LE MONDE DE BARNEY;2011;RICHARD J. LEWIS;31943
LES VOYAGES DE GULLIVER;2011;ROB LETTERMAN;1056864
PIRATES DES CARAIBES LA FONTAINE DE JOUVENCE;2011;ROB MARSHALL;8261477
LES NEIGES DU KILIMANDJARO;2011;ROBERT GUEDIGUIAN;1308719
MORNING GLORY;2011;ROGER MICHELL;358238
CARNAGE;2011;ROMAN POLANSKI;852800
OMAR M'A TUER;2011;ROSCHDY ZEM;1035278
LA PLANETE DES SINGES LES ORIGINES;2011;RUPERT WYATT;5813303
CHEZ GINO;2011;SAMUEL BENCHETRIT;183011
MON PERE EST FEMME DE MENAGE;2011;SAPHIA AZZEDDINE;532378
MISSION : NOEL LES AVENTURES DE LA FAMILLE NOEL;2011;SARAH SMITH;1517954
LA SOLITUDE DES NOMBRES PREMIERS;2011;SAVERIO COSTANZO;83216
PRIEST;2011;SCOTT CHARLES STEWART;370910
COMMENT TUER SON BOSS ?;2011;SETH GORDON;1477910
REAL STEEL;2011;SHAWN LEVY;1921163
LE FLINGUEUR;2011;SIMON WEST;451607
LE MARCHAND DE SABLE;2011;SINEM SAKAOGLU;124654
SOMEWHERE;2011;SOFIA COPPOLA;810378
LA DELICATESSE;2011;STEPHANE FOENKINOS;1483453
MOI, MICHEL G, MILLIARDAIRE, MAITRE DU MONDE;2011;STEPHANE KAZANDJIAN;172238
FORCES SPECIALES;2011;STEPHANE RYBOJAD;366347
WINNIE L'OURSON : BIENVENUE DANS LA FORET DES REVES BLEUS;2011;STEPHEN J. ANDERSON;428542
SHAME;2011;STEVE MCQUEEN.;855860
DESTINATION FINALE 5;2011;STEVEN QUALE;1736895
CONTAGION;2011;STEVEN SODERBERGH;1193697
LES AVENTURES DE TINTIN : LE SECRET DE LA LICORNE;2011;STEVEN SPIELBERG;7831677
LE COCHON DE GAZA;2011;SYLVAIN ESTIBAL;557877
PHILIBERT;2011;SYLVAIN FUSEE;105347
OH MY GOD !;2011;TANYA WEXLER;128401
LES IMMORTELS;2011;TARSEM SINGH;649802
LA COULEUR DES SENTIMENTS (THE HELP);2011;TATE TAYLOR;1187863
THE TREE OF LIFE;2011;TERRENCE MALICK;1215594
LES YEUX DE SA MERE;2011;THIERRY KLIFA;260434
CASE DEPART;2011;THOMAS NGIJOL;3345040
HOP;2011;TIM HILL;995804
PARANORMAL ACTIVITY 3;2011;TOD WILLIAMS;1506243
VERY BAD TRIP 2;2011;TODD PHILLIPS;4364102
IL N'EST JAMAIS TROP TARD;2011;TOM HANKS;975251
LE DISCOURS D'UN ROI;2011;TOM HOOPER;5743301
LA BALLADE DE L'IMPOSSIBLE;2011;TRAN ANH HUNG;109217
DETECTIVE DEE LE MYSTERE DE LA FLAMME FANTOME;2011;TSUI HARK;436262
LA GUERRE EST DECLAREE;2011;VALERIE DONZELLI;1708143
PRESUME COUPABLE;2011;VINCENT GARENQ;704638
POULET AUX PRUNES;2011;VINCENT PARONNAUD;453951
SCREAM 4;2011;WES CRAVEN;1862278
SEXE ENTRE AMIS;2011;WILL GLUCK;1046986
LONDON BOULEVARD;2011;WILLIAM MONAHAN;228586
PINA (3D);2011;WIM WENDERS;664419
MINUIT A PARIS;2011;WOODY ALLEN;3156501
LA CONQUETE;2011;XAVIER DURRINGER;1329268
LA GUERRE DES BOUTONS;2011;YANN SAMUELL;2808234
SUCKER PUNCH;2011;ZACK SNYDER;903894
TITEUF, LE FILM;2011;ZEP;2220116
ROCK FOREVER;2012;ADAM SHANKMAN;129001
VOISINS DU TROISIEME TYPE;2012;AKIVA SCHAFFER;443460
SUR LA PISTE DU MARSUPILAMI;2012;ALAIN CHABAT;9698128
VOUS N'AVEZ ENCORE RIEN VU;2012;ALAIN RESNAIS;321172
FELINS;2012;ALASTAIR FOTHERGILL;1271385
THE DESCENDANTS;2012;ALEXANDER PAYNE;1349305
MAMAN;2012;ALEXANDRA LECLERE;533947
CE QUE LE JOUR DOIT A LA NUIT;2012;ALEXANDRE ARCADY;592619
DAVID ET MADAME HANSEN;2012;ALEXANDRE ASTIER;198755
LES INFIDELES;2012;ALEXANDRE COURTES;4408342
LE PRENOM;2012;ALEXANDRE DE LA PATELLIERE;6306866
AUGUSTINE;2012;ALICE WINOCOUR;338376
ELENA;2012;ANDREI ZVYAGINTSEV;292063
COGAN;2012;ANDREW DOMINIK;455688
JOHN CARTER;2012;ANDREW STANTON;1772683
L'ODYSSEE DE PI;2012;ANG LEE;1600573
AU PAYS DU SANG ET DU MIEL;2012;ANGELINA JOLIE;80849
MA BONNE ETOILE;2012;ANNE FASSIO;233895
CORNOUAILLE;2012;ANNE LE NY;538029
PARANORMAL ACTIVITY 4;2012;ARIEL SCHULMAN;1809202
DEPRESSION & DES POTES;2012;ARNAUD LEMORT;581778
LA CLINIQUE DE L'AMOUR;2012;ARTUS DE PENGUERN;121721
DOS AU MUR;2012;ASGER LETH;417514
CONTREBANDE;2012;BALTASAR KORMAKUR;251023
MEN IN BLACK 3;2012;BARRY SONNENFELD;3780932
ARGO;2012;BEN AFFLECK;2718763
SAMMY 2;2012;BEN STASSEN;1395000
LES BETES DU SUD SAUVAGE;2012;BENH ZEITLIN;594319
7 JOURS A LA HAVANE;2012;BENICIO DEL TORO;73797
ERNEST ET CELESTINE;2012;BENJAMIN RENNER;1850332
LE GRAND SOIR;2012;BENOIT DELEPINE;875770
LES ADIEUX A LA REINE;2012;BENOIT JACQUOT;1107416
TWILIGHT - CHAPITRE 5 : REVELATION DEUXIEME PARTIE;2012;BILL CONDON;8108149
UNDERWORLD : NOUVELLE ERE;2012;BJORN STEIN;911585
SAFE;2012;BOAZ YAKIN;626204
VOYAGE AU CENTRE DE LA TERRE 2 : L'ILE MYSTERIEUSE;2012;BRAD PEYTON;2609837
CHRONIQUES DE TCHERNOBYL;2012;BRADLEY PARKER;329542
REBELLE;2012;BRENDA CHAPMAN;4742755
GHOST RIDER : L'ESPRIT DE VENGEANCE;2012;BRIAN TAYLOR;899591
CAPTIVE;2012;BRILLANTE MENDOZA;32991
ADIEU BERTHE - L'ENTERREMENT DE MEME -;2012;BRUNO PODALYDES;1426873
NOUVEAU DEPART;2012;CAMERON CROWE;878522
DU VENT DANS MES MOLLETS;2012;CARINE TARDIEU;1207813
JANE EYRE;2012;CARY FUKUNAGA;344216
TROIS MONDES;2012;CATHERINE CORSINI;120411
JE ME SUIS FAIT TOUT PETIT;2012;CECILIA ROUAUD;103121
AUX YEUX DE TOUS (2012);2012;CEDRIC JIMENEZ;105544
UNE VIE MEILLEURE;2012;CEDRIC KAHN;936385
MINCE ALORS !;2012;CHARLOTTE DE TURCKHEIM;2758872
L'ETRANGE POUVOIR DE NORMAN;2012;CHRIS BUTLER;561424
THE DARKEST HOUR EN 3D;2012;CHRIS GORAK;308733
21 JUMP STREET;2012;CHRIS MILLER;575023
LE LORAX;2012;CHRIS RENAUD;1161172
PLAN DE TABLE;2012;CHRISTELLE RAYNAL;504195
IL ETAIT UNE FOIS, UNE FOIS;2012;CHRISTIAN MERRET-PALMAIR;271184
BARBARA;2012;CHRISTIAN PETZOLD;589880
LES SAVEURS DU PALAIS;2012;CHRISTIAN VINCENT;2035980
DANS LA TOURMENTE;2012;CHRISTOPHE RUGGIA;157363
SEA NO SEX & SUN;2012;CHRISTOPHE TURPIN;137301
JACK REACHER;2012;CHRISTOPHER MCQUARRIE;2759188
THE DARK KNIGHT RISES;2012;CHRISTOPHER NOLAN;7682939
THERESE DESQUEYROUX;2012;CLAUDE MILLER;1002958
JOURNAL DE FRANCE;2012;CLAUDINE NOUGARET;121489
J. EDGAR;2012;CLINT EASTWOOD;2521320
ARRETE DE PLEURER PENELOPE;2012;CORINNE PUGET;269092
LE CAPITAL;2012;COSTA-GAVRAS;739871
AU-DELA DES COLLINES;2012;CRISTIAN MUNGIU;138324
CHASING MAVERICKS;2012;CURTIS HANSON;57351
LOUISE WIMMER;2012;CYRIL MENNEGUN;303807
STREET DANCE 2 3D;2012;DANIA PASQUINI;700216
COMME UN CHEF;2012;DANIEL COHEN;678488
SECURITE RAPPROCHEE;2012;DANIEL ESPINOSA;1267104
END OF WATCH;2012;DAVID AYER;215221
DE L'AUTRE COTE DU PERIPH;2012;DAVID CHARHON;4260716
COSMOPOLIS;2012;DAVID CRONENBERG;667585
MILLENIUM LES HOMMES QUI N'AIMAIENT PAS LES FEMMES;2012;DAVID FINCHER;1956421
TOUS LES ESPOIRS SONT PERMIS;2012;DAVID FRANKEL;480395
PREMIUM RUSH;2012;DAVID KOEPP;231225
HIT & RUN;2012;DAVID PALMER;175309
TRUST;2012;DAVID SCHWIMMER;170880
HIT & RUN;2012;DAX SHEPARD;175309
BEL AMI;2012;DECLAN DONNELLAN;178034
JACK ET JULIE;2012;DENNIS DUGAN;127399
FESTIVAL CINEMA TELERAMA (2012);2012;DIVERS;640749
LA CABANE DANS LES BOIS;2012;DREW GODDARD;524562
TUCKER & DALE FIGHTENT LE MAL;2012;ELI CRAIG;281839
7 JOURS A LA HAVANE;2012;ELIA SULEIMAN;73797
ALYAH;2012;ELIE WAJEMAN;76119
